iter	Passed	Remaining
0	141	140886
1	141	70763
2	142	47440
3	143	35723
4	144	28699
5	144	24000
6	145	20627
7	145	18097
8	146	16130
9	147	14558
10	147	13273
11	148	12201
12	148	11295
13	149	10531
14	150	9855
15	150	9263
16	151	8740
17	151	8274
18	152	7857
19	152	7481
20	153	7142
21	153	6833
22	154	6551
23	154	6293
24	155	6056
25	156	5844
26	156	5647
27	157	5458
28	157	5282
29	158	5118
30	158	4964
31	159	4821
32	159	4686
33	160	4558
34	160	4438
35	161	4323
36	162	4216
37	162	4126
38	163	4032
39	164	3945
40	164	3859
41	165	3776
42	166	3699
43	166	3627
44	167	3555
45	168	3487
46	168	3420
47	169	3357
48	170	3302
49	170	3244
50	171	3186
51	171	3131
52	172	3079
53	172	3028
54	173	2979
55	173	2931
56	174	2885
57	174	2840
58	175	2799
59	176	2757
60	176	2720
61	177	2682
62	178	2648
63	178	2612
64	179	2578
65	179	2545
66	180	2514
67	180	2479
68	181	2448
69	181	2417
70	182	2389
71	183	2360
72	183	2336
73	184	2310
74	185	2285
75	186	2263
76	186	2239
77	187	2215
78	188	2192
79	188	2170
80	189	2148
81	190	2131
82	191	2111
83	192	2093
84	192	2072
85	193	2053
86	193	2031
87	194	2012
88	194	1994
89	195	1976
90	196	1959
91	196	1942
92	197	1924
93	197	1908
94	199	1897
95	199	1881
96	200	1866
97	201	1852
98	201	1837
99	202	1823
100	203	1809
101	203	1792
102	204	1778
103	204	1765
104	205	1753
105	206	1742
106	207	1730
107	208	1718
108	208	1707
109	209	1695
110	210	1683
111	211	1673
112	211	1661
113	212	1650
114	213	1641
115	213	1630
116	214	1619
117	215	1609
118	215	1597
119	216	1587
120	217	1577
121	217	1566
122	218	1554
123	218	1545
124	219	1535
125	219	1525
126	220	1518
127	221	1508
128	222	1499
129	222	1490
130	223	1481
131	223	1472
132	224	1464
133	225	1455
134	225	1447
135	226	1439
136	227	1431
137	227	1424
138	228	1416
139	229	1409
140	230	1401
141	230	1394
142	231	1386
143	232	1379
144	232	1371
145	233	1364
146	234	1357
147	234	1351
148	235	1344
149	236	1338
150	236	1331
151	237	1325
152	238	1318
153	238	1312
154	239	1305
155	240	1299
156	240	1292
157	241	1286
158	242	1280
159	243	1276
160	243	1270
161	244	1265
162	245	1259
163	246	1254
164	246	1248
165	247	1242
166	247	1236
167	248	1231
168	249	1225
169	250	1224
170	251	1219
171	252	1214
172	253	1210
173	253	1205
174	254	1199
175	255	1194
176	255	1188
177	256	1183
178	256	1178
179	257	1175
180	258	1168
181	258	1163
182	259	1158
183	260	1153
184	260	1149
185	261	1144
186	262	1139
187	262	1134
188	263	1129
189	263	1124
190	264	1119
191	265	1117
192	266	1113
193	266	1109
194	267	1104
195	268	1100
196	268	1096
197	269	1091
198	270	1087
199	270	1082
200	271	1078
201	272	1075
202	272	1071
203	273	1067
204	274	1064
205	275	1060
206	275	1056
207	276	1052
208	276	1048
209	277	1044
210	278	1040
211	278	1036
212	280	1035
213	280	1031
214	281	1028
215	282	1024
216	282	1020
217	283	1016
218	284	1013
219	284	1009
220	285	1005
221	285	1001
222	286	999
223	287	996
224	288	992
225	288	989
226	289	986
227	290	982
228	290	979
229	291	975
230	292	972
231	292	968
232	293	965
233	294	962
234	294	959
235	295	956
236	296	953
237	296	950
238	297	946
239	297	943
240	298	939
241	299	936
242	299	933
243	300	930
244	300	926
245	301	925
246	302	922
247	303	919
248	304	916
249	304	914
250	305	911
251	305	908
252	306	905
253	307	902
254	307	899
255	308	896
256	309	894
257	310	892
258	310	889
259	311	886
260	312	883
261	312	881
262	313	878
263	313	875
264	314	872
265	315	869
266	315	866
267	316	865
268	317	863
269	318	860
270	318	857
271	319	854
272	320	852
273	320	849
274	321	846
275	321	844
276	322	841
277	323	839
278	324	837
279	324	835
280	325	832
281	326	830
282	326	827
283	327	825
284	328	823
285	328	821
286	329	818
287	330	816
288	330	814
289	332	812
290	332	810
291	333	808
292	334	806
293	334	803
294	335	801
295	335	799
296	336	796
297	337	794
298	337	792
299	338	790
300	339	789
301	340	787
302	341	785
303	342	783
304	342	781
305	343	779
306	344	777
307	345	775
308	346	773
309	346	772
310	347	770
311	348	768
312	348	765
313	349	763
314	350	761
315	350	759
316	351	756
317	351	754
318	352	752
319	353	750
320	353	748
321	354	746
322	355	744
323	355	742
324	356	740
325	357	738
326	357	736
327	358	734
328	358	732
329	359	729
330	360	728
331	361	726
332	361	724
333	362	722
334	363	720
335	363	718
336	364	716
337	365	714
338	365	712
339	366	711
340	366	709
341	367	707
342	368	706
343	369	704
344	370	702
345	370	700
346	371	698
347	372	696
348	372	695
349	373	693
350	373	691
351	374	689
352	375	688
353	376	687
354	377	685
355	377	683
356	378	681
357	378	679
358	379	677
359	380	676
360	380	674
361	381	672
362	386	677
363	386	676
364	387	674
365	388	672
366	388	670
367	389	668
368	389	666
369	390	664
370	391	662
371	391	661
372	392	659
373	393	657
374	393	656
375	394	654
376	394	652
377	395	650
378	396	648
379	396	647
380	397	645
381	398	644
382	398	642
383	399	641
384	400	639
385	400	637
386	401	635
387	401	634
388	402	632
389	403	630
390	403	628
391	404	627
392	405	625
393	405	624
394	406	622
395	407	620
396	407	619
397	408	617
398	408	615
399	409	614
400	410	612
401	410	610
402	411	609
403	412	608
404	413	606
405	414	605
406	414	604
407	415	602
408	415	600
409	416	599
410	416	597
411	417	595
412	418	594
413	418	592
414	419	590
415	420	589
416	420	588
417	421	586
418	422	585
419	422	583
420	423	582
421	423	580
422	424	578
423	424	577
424	425	575
425	425	573
426	426	572
427	427	571
428	428	570
429	429	568
430	429	567
431	430	565
432	430	564
433	431	562
434	431	561
435	432	559
436	433	558
437	434	557
438	435	556
439	435	554
440	436	553
441	437	551
442	437	550
443	438	548
444	438	547
445	439	546
446	440	544
447	440	542
448	441	542
449	442	540
450	443	539
451	443	538
452	444	536
453	445	535
454	445	534
455	446	532
456	447	531
457	447	529
458	448	528
459	448	527
460	449	525
461	450	524
